Product,SKU,Vendor SKU,Quantity,Cost,Discounts($),Discounts(%),Global Discounts($),Tax(%),Total,Notes
LePen Flex 6 Piece Pastel Set,28617487809,UC4800-6P,6,6.65,-,-,-,-,39.9,
Copic Sketch Earth Colors (E34 Toast),4.51134E+12,CME34-S,2,3.2,-,-,-,-,6.4,
Copic Multiliner Black (0.5),4.51134E+12,CMMLB05,5,1.6,-,-,-,-,8,
Copic Multiliner Olive (0.1),4.51134E+12,CMMLO01,3,1.6,-,-,-,-,4.8,
Copic Ink Fluorescents (FV2 Fluorescent Dull Violet),4.51134E+12,CMIN-FV2,2,3.23,-,-,-,-,6.46,
Super Brush Nib Pack Of 3,4.51134E+12,CMSPRBRSHN,2,3.8,-,-,-,-,7.6,
Daniel Smith Watercolor 5 ml Series 1 (Lemon Yellow),7.43162E+11,DJ284610165,2,3.58,-,-,-,-,7.16,
Daniel Smith Watercolor 5 ml Series 1 (Ultramarine Blue),7.43162E+11,DJ284610106,2,3.58,-,-,-,-,7.16,
Daniel Smith Watercolor 5 ml Series 1 (Yellow Ochre),7.43162E+11,DJ284610114,2,3.58,-,-,-,-,7.16,
EcoQua Notebooks A4 Staple Bound Blank (Flamingo),8.00135E+12,FR19210005,2,2.99,-,-,-,-,5.98,
EcoQua Notebooks A4 Staple Bound Blank (Wine),8.00135E+12,FR19210012,2,2.99,-,-,-,-,5.98,
Gelly Roll Fine Point (Purple),84511358379,SK37326,6,0.83,-,-,-,-,4.98,
Gelly Roll Moonlight Fine Point (Blue Green),84511320321,SK32032,6,0.75,-,-,-,-,4.5,
Gelly Roll Moonlight Medium Point (Fluorescent Orange),84511381650,SK38165,9,0.75,-,-,-,-,6.75,
Gelly Roll Moonlight Medium Point (Fluorescent Pink),84511381674,SK38167,9,0.75,-,-,-,-,6.75,
Gelly Roll Moonlight Medium Point (Fluorescent Vermillion),84511381667,SK38166,6,0.75,-,-,-,-,4.5,
Gelly Roll Stardust (Silver),84511379626,SK37962,12,0.75,-,-,-,-,9,
Gelly Roll White Bold,84511310315,SK31031,15,0.75,-,-,-,-,11.25,
POSCA PC- 17K Extra Broad (Black),4.90278E+12,PX364224000,4,4.36,-,-,-,-,17.44,
POSCA PC-3M Fine (Glitter Light Blue),4.90278E+12,PX265447000,3,1.78,-,-,-,-,5.34,
POSCA PC-5M Medium (Apple Green),4.90278E+12,PX264333000,4,1.6,-,-,-,-,6.4,
POSCA PC-5M Medium (Fluorescent Orange),4.90278E+12,PX264598000,3,1.6,-,-,-,-,4.8,
POSCA PC-5M Medium (Fluorescent Pink),4.90278E+12,PX264606000,3,1.6,-,-,-,-,4.8,
POSCA PC-5M Medium (Gold),4.90278E+12,PX264317000,3,1.6,-,-,-,-,4.8,
POSCA PC-5M Medium (Ivory),4.90278E+12,PX264382000,3,1.6,-,-,-,-,4.8,
POSCA PC-5M Medium (Silver),4.90278E+12,PX264325000,3,1.6,-,-,-,-,4.8,
POSCA PC-5M Medium (Straw Yellow),4.90278E+12,PX264408000,3,1.6,-,-,-,-,4.8,
POSCA PC-5M Medium (White),4.90278E+12,PX264168000,6,1.6,-,-,-,-,9.6,
POSCA PC-5M Medium (Yellow),4.90278E+12,PX264176000,3,1.6,-,-,-,-,4.8,
POSCA PC-8K Broad Chisel (White),4.90278E+12,PX148791000,4,2.6,-,-,-,-,10.4,
Princeton Select Brushes Blenders (Lunar Blender 1''),7.57063E+11,PB3750LB-100,2,3.61,-,-,-,-,7.22,
"Princeton Select Artiste Brush White Bristle Bright 1-1/2""",7.57063E+11,PB3750BB-150,4,3.61,-,-,-,-,14.44,
Prismacolor Portrait Sketch Kit,70735250858,SA25085R,2,28.45,-,-,-,-,56.9,
Prismacolor Premier 12 Colored Pencil Set Under the Sea,70735007711,SA2023751,3,12.57,-,-,-,-,37.71,
Simply Simmons Brush Set Everything 5 Brushes,38372019122,RS255500001,3,4.95,-,-,-,-,14.85,
Simply Simmons Brush Set Just Filberts 4 Brushes,38372019207,RS255400005,3,4.13,-,-,-,-,12.39,
Stabilo All Colored Pencils (White),4.00638E+12,SW8052,12,0.7,-,-,-,-,8.4,
Stabilo Boss Original Pastel Highlighter (Creamy Peach),4.00638E+12,SW70-126,4,1.06,-,-,-,-,4.24,
Stabilo Boss Original Pastel Highlighter (Pale Orange),4.00638E+12,SW70-125,6,1.06,-,-,-,-,6.36,
Stabilo Pen 68 (Dark Blue),4.00638E+12,SW68-41,5,0.72,-,-,-,-,3.6,
Stabilo Pen 68 (Emerald Green),4.00638E+12,SW68-36,10,0.72,-,-,-,-,7.2,
Stabilo Pen 68 (Light Green),4.00638E+12,SW68-33,5,0.72,-,-,-,-,3.6,
Stabilo Point 88 Set of 20,4.00638E+12,SW8820,2,9.6,-,-,-,-,19.2,
Stabilo Swing Cool Highlighter Pastel 4 Color Set,4.00638E+12,SW275-4-08-1,4,3.56,-,-,-,-,14.24,
Strathmore Printmaking Light Weight Pad 300 Series 8 x 10 Inch,12017333088,SM333-8,3,4.94,-,-,-,-,14.82,
Strathmore Sketch Paper Pad 400 Series Recycled 5.5 x 8.5 Inch,12017457050,SM457-5,6,4.34,-,-,-,-,26.04,
Strathmore Watercolor Paper Sheet 140lb Cold Press 22 x 30 Inch,12017473012,SM473-1,30,1.85,-,-,-,-,55.5,
Tombow Brush Pen Dual Tip Colors (026 Yellow Gold),85014565035,TB56503,3,1.65,-,-,-,-,4.95,
Tombow Brush Pen Dual Tip Colors (126 Light Olive),85014565134,TB56513,3,1.65,-,-,-,-,4.95,
Tombow Brush Pen Dual Tip Colors (533 Peacock),85014565615,TB56561,3,1.65,-,-,-,-,4.95,
Tombow Brush Pen Dual Tip Colors (885 Warm Red),85014566032,TB56603,3,1.65,-,-,-,-,4.95,
Tombow Brush Pen Dual Tip Colors (899 Red Wood),85014566049,TB56604,3,1.65,-,-,-,-,4.95,
Tombow Brush Pen Dual Tip Neutrals (N89 Warm Gray 1),85014566438,TB56643,3,1.65,-,-,-,-,4.95,
Tombow Dual Brush 10 Piece Sets (Primary Palette),85014561679,TB56167,2,14,-,-,-,-,28,
Tombow Dual Brush 10 Piece Sets (Tropical Palette),85014561891,TB56189,2,14,-,-,-,-,28,
Tombow Fudenosuke Brush Pen Set of 2 Black,85014620383,TB62038,3,3.6,-,-,-,-,10.8,
Zebra Brush Pen Black Fine,45888012103,ZE01210UPC,12,1.36,-,-,-,-,16.32,
Zebra M-301 Mechanical Pencils .5mm Black,45888540125,ZE54012,6,3.09,-,-,-,-,18.54,
Watercolor Artist Paint 12 Color Set 12 ml Tubes,90672027818,RYWAT12,3,3.8,-,-,-,-,11.4,
Watercolor Pan Set Angora 14 Color,8.71208E+12,TN95960112,6,6.38,-,-,-,-,38.28,
Waxed Thread Black 25 Yards,8.70192E+11,RLBTH25-01,3,2.55,-,-,-,-,7.65,
"XL Recycled Sketch Pad 18"" x 24"" 50 Sheets",3.14896E+12,CN100510924,2,11,-,-,-,-,22,
Scissor Multi Purpose 8 Inch,51135208335,MT20833-5,8,2.13,-,-,-,-,17.04,
Scotch Magic Tape,21200000041,MT00004-1,12,1.91,-,-,-,-,22.92,
Sidewalk Chalk 12 Pack,71662612122,CX51-2012,4,1.85,-,-,-,-,7.4,
Sidewalk Chalk 24 Piece,71662612245,CX51-2024,4,3.3,-,-,-,-,13.2,
Snazaroo Rainbow Face Paint Kit,7.66416E+11,SN1172069,3,9.35,-,-,-,-,28.05,
Spray Matte Finish 11 Ounce,7.24504E+11,KR1311,3,7.77,-,-,-,-,23.31,
Spray Workable Fixatif 11 Ounce,7.24504E+11,KR1306,4,7.91,-,-,-,-,31.64,
Stencil Film 9 x 12 Blue,96701129607,GXKBS4,6,2.95,-,-,-,-,17.7,
Tinted Charcoal Paint Pan 12 Color Set,5.02825E+11,DE2305872,1,21.31,-,-,-,-,21.31,
Pentel Sign Pen Fiber Tip (Black),72512100004,PLS520A,12,0.98,-,-,-,-,11.76,
Pentel Slicci .25mm Blue,72512234907,PLBG202-C,6,1.76,-,-,-,-,10.56,
Pilot Erasable Highlighter Set of 5,72838465436,PI46543,7,3.98,-,-,-,-,27.86,
Pocket Color Wheel,88107235013,CW3501,3,2.41,-,-,-,-,7.23,
Porcelain Brush Pen 6 Cool Color Set,4.00476E+12,ED4200-6099,2,8.48,-,-,-,-,16.96,
Knife #1 With Safety Cap X-Acto,79946360103,XA3601Q3,21,3.57,-,-,-,-,74.97,
Kozo Japanese Art Paper,31248981608,YO6K,3,11.87,-,-,-,-,35.61,
Large Area Brush 3 Pack Bristle,90672008664,RYRART-110,6,1.71,-,-,-,-,10.26,
Leather Lace 1/8 Inch x 4 yard Light Brown,8.70192E+11,RLROC04-0260,3,2.75,-,-,-,-,8.25,
Let's Learn to Sew Kit,8.11069E+11,AWCT2169,2,10,-,-,-,-,20,
Little Red All Art Sharpener with Canister,44974415019,GPS-415BP,7,1.33,-,-,-,-,9.31,
Milky Pop .8mm Pen White Pastel,72512269015,PLK98-W,12,1.54,-,-,-,-,18.48,
Mini Paper Pad Stonehenge Aqua Coldpress,6.45248E+11,LP140WH23,20,1.2,-,-,-,-,24,
Mini Paper Pad Stonehenge Light,6.45248E+11,LP135WH23,10,1.2,-,-,-,-,12,
Mini Ribbon Sculpting Tool Set,82435173580,AA17358,2,6.65,-,-,-,-,13.3,
Fabriano 1264 Watercolor Pad Spiral-Bound 9 x 12 140 lb.,8.00135E+12,FR7119100597,8,6.29,-,-,-,-,50.32,
Finetec Artist Pearlescent Watercolor Pan Refill (Amethyst),4.2514E+12,TNF1250C,4,3.58,-,-,-,-,14.32,
Flip-Sketch Sketch Books 5 x 7 Pool,6.96845E+11,GL960015,4,4.11,-,-,-,-,16.44,
Flip-Sketch Sketch Books 6 X 9 Mist,6.96845E+11,GL960030,4,5.13,-,-,-,-,20.52,
Galaxy Glitter Paint (Big Bang),7.66218E+11,DPDGG09-30,3,1.49,-,-,-,-,4.47,
Galaxy Glitter Paint (Red Nebula),7.66218E+11,DPDGG04-30,3,1.25,-,-,-,-,3.75,
Glue School Elmer's 9 Ounce Clear,26000003094,ELE-309,4,4.25,-,-,-,-,17,
Googly Eyes Assorted Sizes 100 Pack,21196344624,CE3446-02,6,2.1,-,-,-,-,12.6,
Gouache Artist Paint 12 Color Set 12 ml Tubes,90672028594,RYGOU12,4,3.8,-,-,-,-,15.2,
Graphix Aqua Pen 6 Color Set Make Manga,4.00775E+12,MR0145000101,4,7.65,-,-,-,-,30.6,
Grip Watercolor Ecopencils 12 Piece Pack,92633702710,FC9121212,6,4.32,-,-,-,-,25.92,
Hybrid Technica Pen Black (.5mm),72512242452,PLKN105-A,13,1.73,-,-,-,-,22.49,
Inkjoy Gel Pen 0.7mm (Pink),71641100916,SA1953513,6,1.85,-,-,-,-,11.1,
Double Ball Stylus Embossing Tool,82435173481,AA17348,3,1.17,-,-,-,-,3.51,
Dye Fixative for Natural Fibers,7.43772E+11,JAJID1301,3,2.55,-,-,-,-,7.65,
Dyeing Pastel Set of 15,72512009291,PLPTS-15,6,2.63,-,-,-,-,15.78,
Early Start Stuff For Painting 5 Piece Set,9.31331E+12,MDEPASTUFF,3,5.5,-,-,-,-,16.5,
Ecco Pigment Pen Black (.3mm),4.0054E+12,FC166399,5,1.45,-,-,-,-,7.25,
Ecoline Watercolor Brush Pen Pastel Set of 5,8.71208E+12,TN11509901,2,10.33,-,-,-,-,20.66,
Egg Chalk 6 Color Set,9.31331E+12,MDM027727,5,3.5,-,-,-,-,17.5,
EMOTT 5 Pen Set (#4),4.90278E+12,UX248310000,6,7,-,-,-,-,42,
Extreme Sheen (24K Gold),7.66218E+11,DPDPM04-30,6,1.53,-,-,-,-,9.18,
Extreme Sheen (Deep Sapphire),7.66218E+11,DPDPM30-30,3,1.54,-,-,-,-,4.62,
Extreme Sheen (Rose Gold),7.66218E+11,DPDPM03-30,4,1.53,-,-,-,-,6.12,
Extreme Sheen (Vintage Brass),7.66218E+11,DPDPM05-30,4,1.54,-,-,-,-,6.16,
24 Gauge Silver Craft Wire 24 Yards,21196035560,CE3556,4,3.35,-,-,-,-,13.4,
Aleene's OK To Wash It 4oz,17754156334,AL15633,4,2,-,-,-,-,8,
Aleene's Tacky Glue Original 8 oz,17754155993,AL15599,4,2.8,-,-,-,-,11.2,
Artist Tape .5 Inch 60 Yards,82435201320,AA20132,3,4.95,-,-,-,-,14.85,
Blending Stumps 3 Pack,90672008534,RYRD88,3,0.95,-,-,-,-,2.85,
Calli-Sumi Brush 1-1/8 inch,31248010759,YOCC1,3,1.96,-,-,-,-,5.88,
Charcoal Peel and Sketch Kit,44974563031,GP5630ABP,3,2.78,-,-,-,-,8.34,
Charcoal Pencils 4 Pack,44974590303,GP59P-BP,4,4.4,-,-,-,-,17.6,
Circle Ruler 12 Inch,79252360019,HX36001,3,2.53,-,-,-,-,7.59,
Clairefontaine Graf It 6 X 8 Sketch Pad 80 Sheets,3.32968E+12,RHC96621,6,3.25,-,-,-,-,19.5,
Clay Das 1.1 Pound White,8.00014E+12,DT387000,12,2.58,-,-,-,-,30.96,
Clay Das 2.2 Pound White,8.00014E+12,DT387500,14,4.98,-,-,-,-,69.72,
Collage Board 15 X 20 White,93924180330,CB1200107-3,15,2.36,-,-,-,-,35.4,
Colored Copper 18 Gauge Craft Wire (Antique Brass),6.56156E+11,BEAWD-182404,2,2.5,-,-,-,-,5,
Compass & Protractor Set,82435271804,AA27180,3,2.11,-,-,-,-,6.33,
Compressed Charcoal White 4 Pack,44974958042,GP958-BP,4,2.39,-,-,-,-,9.56,
Cotman Watercolor Pocket Plus Set,94376954364,WN0390373,3,15.25,-,-,-,-,45.75,
Craft-tastic Mermaid Potions Kit,8.11069E+11,AWCT2103,1,10,-,-,-,-,10,
Golden Heavy Body Acrylic 2 Oz. (Cadmium Red Medium),7.38797E+11,GD1100-2,2,12.35,-,-,-,-,24.7,
Golden Heavy Body Acrylic 2 Oz. (Titanium White),7.38797E+11,GD1380-2,2,5.65,-,-,-,-,11.3,
Golden Heavy Body Acrylic 2 Oz. (Yellow Ochre),7.38797E+11,GD1407-2,2,5.65,-,-,-,-,11.3,
iDye Natural Fabrics (Chestnut),7.43772E+11,JAJID1424,3,2.25,-,-,-,-,6.75,
Lama Li Lokta Paper Hydrangea,7.19723E+11,LA453,15,2.44,-,-,-,-,36.6,
LePen Drawing Black (Brush),28617411309,UC4100S-BRSH,6,1,-,-,-,-,6,
Acrylic Ink 30ML (Iridescent Bright Gold),94376975857,LQ4260234,2,4.23,-,-,-,-,8.46,
Acrylic Ink 30ML (Iridescent Bright Silver),94376975864,LQ4260236,2,4.23,-,-,-,-,8.46,
Acrylic Paint Liquitex Basics 4 Ounce (Burnt Umber),94376922332,LQ1046128,6,4.23,-,-,-,-,25.38,
Acrylic Paint Liquitex Basics 4 Ounce (Cerulean Blue),94376922523,LQ1046470,6,4.23,-,-,-,-,25.38,
Acrylic Paint Liquitex Basics 4 Ounce (Phthalocyanine Green),94376922455,LQ1046317,6,4.23,-,-,-,-,25.38,
Acrylic Paint Liquitex Basics 4 Ounce (Primary Blue),94376931242,LQ1046420,8,4.23,-,-,-,-,33.84,
Liquitex Glazing Medium 8 ounce,94376931594,LQ7508,2,9.18,-,-,-,-,18.36,
Pinata Alcohol Ink (Pearl),7.43772E+11,JAJFC1036,1,1.85,-,-,-,-,1.85,
Pinata Alcohol Ink (Sapphire Blue),7.43772E+11,JAJFC1017,2,1.99,-,-,-,-,3.98,
Pigma Micron Pen 05 .45mm (Black),84511306448,SKXSDK05-49,24,1.67,-,-,-,-,40.08,
Sakura Pigma Calligrapher Pen Assorted 3 Pack,53482503194,SK50319,3,4.84,-,-,-,-,14.52,
Sculpey Premo Accents 2oz. (Opal),7.15892E+11,SYP5109,5,1.5,-,-,-,-,7.5,
Water Based Block Printing Ink 1.3 Ounce (Black),6.51032E+11,SPB3400,4,2.8,-,-,-,-,11.2,
Speedy Carve 9 x 11.75,6.51032E+11,SP4196,3,15.62,-,-,-,-,46.86,
Speedy Carve Stamp Block 3 x 4 inch,6.51032E+11,SP4107,14,2.21,-,-,-,-,30.94,
Speedy Cut Block 4 X 5.5 Inch,6.51032E+11,SP4346,6,2.46,-,-,-,-,14.76,
Sharpie Pen (Blue),71641000506,SA1742664,12,1.5,-,-,-,-,18,
Sharpie Permanent Marker Fine Metallic (Gold),71641054905,SA1823889,7,1.29,-,-,-,-,9.03,
Sharpie Permanent Marker Ultra Fine Point (Orange),71641371262,SA37126,6,0.99,-,-,-,-,5.94,
uni Chalk Marker PWE-8K Broad Chisel (White),4.90278E+12,UX140095000,1,3.28,-,-,-,-,3.28,
Glue Brush (6 Pack),90672000804,RYRD80,6,0.75,-,-,-,-,4.5,
,,,,,,,,,,
Total Quantity,823,,,,,,,,,
SubTotal,"$2,415.57 ",,,,,,,,,
Discounts,$0.00 ,,,,,,,,,
Tax,$0.00 ,,,,,,,,,
Fees,$0.00 ,,,,,,,,,
Freight,$0.00 ,,,,,,,,,
Total,"$2,415.57 ",,,,,,,,,
