,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same QTY,Same PRICE
UC4800-6P,LePen Flex 6 Piece Pastel Set,28617487809,6.0,6.65,-,-,-,-,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.65
CMSPRBRSHN,Super Brush Nib Pack Of 3,4.51134E+12,2.0,3.8,-,-,-,-,7.6,0.0,41.0,Shipped 05/15/2023,3355.0,0.0,SUPER BRUSH NIB PKG/3,2.0,2.0,0.0,7.99,60.0,3.2,EA,6.4,E-4511338010129,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,-0.5999999999999996
DJ284610165,Daniel Smith Watercolor 5 ml Series 1 (Lemon Yellow),7.43162E+11,2.0,3.58,-,-,-,-,7.16,0.0,42.0,Shipped 05/15/2023,70281.0,0.0,DS W/C 5ML LEMON YELLOW,2.0,2.0,0.0,10.19,62.0,3.87,TU,7.74,U-743162032563,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.29000000000000004
DJ284610106,Daniel Smith Watercolor 5 ml Series 1 (Ultramarine Blue),7.43162E+11,2.0,3.58,-,-,-,-,7.16,0.0,43.0,Shipped 05/15/2023,70266.0,0.0,DS W/C 5ML ULTRAMARINE BLUE,2.0,2.0,0.0,10.19,62.0,3.87,TU,7.74,U-743162032433,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.29000000000000004
DJ284610114,Daniel Smith Watercolor 5 ml Series 1 (Yellow Ochre),7.43162E+11,2.0,3.58,-,-,-,-,7.16,0.0,44.0,Shipped 05/15/2023,70271.0,0.0,DS W/C 5ML YELLOW OCHRE,2.0,2.0,0.0,10.19,62.0,3.87,TU,7.74,U-743162032471,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.29000000000000004
FR19210005,EcoQua Notebooks A4 Staple Bound Blank (Flamingo),8.00135E+12,2.0,2.99,-,-,-,-,5.98,0.0,45.0,Shipped 05/15/2023,100783.0,0.0,ECOQUA ST BLNK BK A4 FLAM 40S,2.0,2.0,0.0,6.65,60.0,2.66,BK,5.32,E-8001348213383,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,-0.33000000000000007
FR19210012,EcoQua Notebooks A4 Staple Bound Blank (Wine),8.00135E+12,2.0,2.99,-,-,-,-,5.98,0.0,46.0,Shipped 05/15/2023,100789.0,0.0,ECOQUA ST BLNK BK A4 WINE 40S,2.0,2.0,0.0,6.65,60.0,2.66,BK,5.32,E-8001348213451,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,-0.33000000000000007
SK32032,Gelly Roll Moonlight Fine Point (Blue Green),84511320321,6.0,0.75,-,-,-,-,4.5,0.0,48.0,Shipped 05/15/2023,91170.0,0.0,GELLYROLL MOONLT FN BLUE GREEN,6.0,6.0,0.0,1.66,50.0,0.83,PE,4.98,U-084511320321,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.07999999999999996
SK38165,Gelly Roll Moonlight Medium Point (Fluorescent Orange),84511381650,9.0,0.75,-,-,-,-,6.75,0.0,49.0,Shipped 05/15/2023,195197.0,0.0,GELLYROLL MOONLT MD FLO ORANGE,9.0,9.0,0.0,1.66,50.0,0.83,PE,7.47,U-084511381650,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.07999999999999996
SK38167,Gelly Roll Moonlight Medium Point (Fluorescent Pink),84511381674,9.0,0.75,-,-,-,-,6.75,0.0,50.0,Shipped 05/15/2023,195308.0,0.0,GELLYROLL MOONLT MD FLO PINK,9.0,9.0,0.0,1.66,50.0,0.83,PE,7.47,U-084511381674,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.07999999999999996
SK38166,Gelly Roll Moonlight Medium Point (Fluorescent Vermillion),84511381667,6.0,0.75,-,-,-,-,4.5,0.0,51.0,Shipped 05/15/2023,195316.0,0.0,GELLYROLL MOONLT MD FLO VERMLN,6.0,6.0,0.0,1.66,50.0,0.83,PE,4.98,U-084511381667,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.07999999999999996
SK37962,Gelly Roll Stardust (Silver),84511379626,12.0,0.75,-,-,-,-,9.0,0.0,52.0,Shipped 05/15/2023,86371.0,0.0,GELLYROLL STRDST SILVER,12.0,12.0,0.0,2.0,50.0,1.0,PE,12.0,U-084511379626,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.25
SK31031,Gelly Roll White Bold,84511310315,15.0,0.75,-,-,-,-,11.25,0.0,53.0,Shipped 05/15/2023,82351.0,0.0,GELLYROLL BOLD WHITE,15.0,15.0,0.0,1.66,50.0,0.83,PE,12.45,U-084511310315,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.07999999999999996
PX264333000,POSCA PC-5M Medium (Apple Green),4.90278E+12,4.0,1.6,-,-,-,-,6.4,0.0,57.0,Shipped 05/15/2023,76894.0,0.0,PC-5M MEDIUM APPLE GREEN,4.0,4.0,0.0,4.45,60.0,1.78,PE,7.12,E-4902778036853,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264598000,POSCA PC-5M Medium (Fluorescent Orange),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,58.0,Shipped 05/15/2023,81916.0,0.0,PC-5M MEDIUM FLUO ORANGE,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778198063,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264606000,POSCA PC-5M Medium (Fluorescent Pink),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,59.0,Shipped 05/15/2023,81917.0,0.0,PC-5M MEDIUM FLUO PINK,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778198070,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264317000,POSCA PC-5M Medium (Gold),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,60.0,Shipped 05/15/2023,76927.0,0.0,PC-5M MEDIUM GOLD,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778916261,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264382000,POSCA PC-5M Medium (Ivory),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,61.0,Shipped 05/15/2023,76900.0,0.0,PC-5M MEDIUM IVORY,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778107454,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264325000,POSCA PC-5M Medium (Silver),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,62.0,Shipped 05/15/2023,76928.0,0.0,PC-5M MEDIUM SILVER,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778916278,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264408000,POSCA PC-5M Medium (Straw Yellow),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,63.0,Shipped 05/15/2023,76903.0,0.0,PC-5M MEDIUM STRAW YELLOW,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778107478,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264168000,POSCA PC-5M Medium (White),4.90278E+12,6.0,1.6,-,-,-,-,9.6,0.0,64.0,Shipped 05/15/2023,76930.0,0.0,PC-5M MEDIUM WHITE,6.0,6.0,0.0,4.45,60.0,1.78,PE,10.68,E-4902778916254,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.17999999999999994
PX264176000,POSCA PC-5M Medium (Yellow),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,65.0,Shipped 05/15/2023,76914.0,0.0,PC-5M MEDIUM YELLOW,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778916162,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.17999999999999994
PX148791000,POSCA PC-8K Broad Chisel (White),4.90278E+12,4.0,2.6,-,-,-,-,10.4,0.0,66.0,Shipped 05/15/2023,76948.0,0.0,PC-8K BROAD WHITE,4.0,4.0,0.0,7.1,60.0,2.84,PE,11.36,E-4902778916599,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.23999999999999977
PB3750LB-100,Princeton Select Brushes Blenders (Lunar Blender 1''),7.57063E+11,2.0,3.61,-,-,-,-,7.22,0.0,67.0,Shipped 05/15/2023,28920.0,0.0,SELECT LUNAR BLENDER 1,2.0,2.0,0.0,13.15,67.0,4.34,BR,8.68,U-757063375742,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.73
PB3750BB-150,"Princeton Select Artiste Brush White Bristle Bright 1-1/2""",7.57063E+11,4.0,3.61,-,-,-,-,14.44,0.0,68.0,Shipped 05/15/2023,28875.0,0.0,SELECT WHTE BRISTLE BRIGHT1.5,4.0,4.0,0.0,13.15,67.0,4.34,BR,17.36,U-757063375599,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.73
SA2023751,Prismacolor Premier 12 Colored Pencil Set Under the Sea,70735007711,3.0,12.57,-,-,-,-,37.71,0.0,71.0,Shipped 05/15/2023,83673.0,0.0,PRISMA PNCL UNDR THE SEA SE/12,3.0,3.0,0.0,25.14,55.0,11.31,SE,33.93,U-070735007711,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,-1.2599999999999998
RS255500001,Simply Simmons Brush Set Everything 5 Brushes,38372019122,3.0,4.95,-,-,-,-,14.85,0.0,76.0,Shipped 05/15/2023,286044.0,0.0,SMPLY SIM EVRYTHNG SET 5PC,3.0,3.0,0.0,17.55,70.0,5.27,SE,15.81,U-038372019122,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.3199999999999994
RS255400005,Simply Simmons Brush Set Just Filberts 4 Brushes,38372019207,3.0,4.13,-,-,-,-,12.39,0.0,77.0,Shipped 05/15/2023,39094.0,0.0,SMPLY SIM JUST FILBERTS SET 4P,3.0,3.0,0.0,14.65,70.0,4.4,SE,13.2,U-038372019207,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.27000000000000046
SW8052,Stabilo All Colored Pencils (White),4.00638E+12,12.0,0.7,-,-,-,-,8.4,0.0,78.0,Shipped 05/15/2023,34347.0,0.0,ALL-STABILO PENCIL WHITE,12.0,12.0,0.0,1.9,60.0,0.76,PE,9.12,E-4006381328159,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.06000000000000005
SW70-126,Stabilo Boss Original Pastel Highlighter (Creamy Peach),4.00638E+12,4.0,1.06,-,-,-,-,4.24,0.0,79.0,Shipped 05/15/2023,80612.0,0.0,BOSS ORIG PASTEL CREAMY PEACH,4.0,4.0,0.0,2.9,63.0,1.07,PE,4.28,E-4006381492386,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.010000000000000009
SW70-125,Stabilo Boss Original Pastel Highlighter (Pale Orange),4.00638E+12,6.0,1.06,-,-,-,-,6.36,0.0,80.0,Shipped 05/15/2023,99029.0,0.0,BOSS ORIG PASTEL PALE ORANGE,6.0,6.0,0.0,2.9,63.0,1.07,PE,6.42,E-4006381566025,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.010000000000000009
SW68-41,Stabilo Pen 68 (Dark Blue),4.00638E+12,5.0,0.72,-,-,-,-,3.6,0.0,81.0,Shipped 05/15/2023,729795.0,0.0,STABILO PEN 68 DARK BLUE,5.0,5.0,0.0,2.0,63.0,0.74,PE,3.7,E-4006381333276,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.020000000000000018
SW68-36,Stabilo Pen 68 (Emerald Green),4.00638E+12,10.0,0.72,-,-,-,-,7.2,0.0,82.0,Shipped 05/15/2023,728691.0,0.0,STABILO PEN 68 GREEN,10.0,10.0,0.0,2.0,63.0,0.74,PE,7.4,E-4006381333238,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.020000000000000018
SW68-33,Stabilo Pen 68 (Light Green),4.00638E+12,5.0,0.72,-,-,-,-,3.6,0.0,83.0,Shipped 05/15/2023,727954.0,0.0,STABILO PEN 68 LIGHT GREEN,5.0,5.0,0.0,2.0,63.0,0.74,PE,3.7,E-4006381333221,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.020000000000000018
SW8820,Stabilo Point 88 Set of 20,4.00638E+12,2.0,9.6,-,-,-,-,19.2,0.0,84.0,Shipped 05/15/2023,3902.0,0.0,STABILO POINT 88 WALLET SET 20,2.0,2.0,0.0,26.5,63.0,9.81,SE,19.62,E-4006381292405,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.21000000000000085
SW275-4-08-1,Stabilo Swing Cool Highlighter Pastel 4 Color Set,4.00638E+12,4.0,3.56,-,-,-,-,14.24,0.0,86.0,Shipped 05/15/2023,99025.0,0.0,SWING COOL PASTEL WALLT 4PC II,4.0,4.0,0.0,9.75,63.0,3.61,SE,14.44,E-4006381559461,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.04999999999999982
SM333-8,Strathmore Printmaking Light Weight Pad 300 Series 8 x 10 Inch,12017333088,3.0,4.94,-,-,-,-,14.82,0.0,87.0,Shipped 05/15/2023,65186.0,0.0,PRNTMKG 300 LW 8X10 40SH (12),3.0,3.0,0.0,12.95,60.0,5.18,PD,15.54,U-012017333088,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.23999999999999932
SM457-5,Strathmore Sketch Paper Pad 400 Series Recycled 5.5 x 8.5 Inch,12017457050,6.0,4.34,-,-,-,-,26.04,0.0,88.0,Shipped 05/15/2023,514640.0,0.0,SKTCH RCY400 5X8SB SD100(12),6.0,6.0,0.0,11.5,60.0,4.6,PD,27.6,U-012017457050,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.2599999999999998
SM473-1,Strathmore Watercolor Paper Sheet 140lb Cold Press 22 x 30 Inch,12017473012,30.0,1.85,-,-,-,-,55.5,0.0,89.0,Shipped 05/15/2023,35734.0,0.0,W/C PPR 140#CP 22X30,30.0,30.0,0.0,4.75,57.5,2.02,SH,60.6,U-012017473012,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777455,0.0,0.16999999999999993
TB56503,Tombow Brush Pen Dual Tip Colors (026 Yellow Gold),85014565035,3.0,1.65,-,-,-,-,4.95,0.0,90.0,Shipped 05/15/2023,81817.0,0.0,ABT DUAL BRSH 026 YEL GOLD,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014565035,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56513,Tombow Brush Pen Dual Tip Colors (126 Light Olive),85014565134,3.0,1.65,-,-,-,-,4.95,0.0,91.0,Shipped 05/15/2023,82686.0,0.0,ABT DUAL BRSH 126 LT OLIVE,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014565134,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56561,Tombow Brush Pen Dual Tip Colors (533 Peacock),85014565615,3.0,1.65,-,-,-,-,4.95,0.0,92.0,Shipped 05/15/2023,53414.0,0.0,ABT DUAL BRSH 533 PEACOCK,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014565615,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56603,Tombow Brush Pen Dual Tip Colors (885 Warm Red),85014566032,3.0,1.65,-,-,-,-,4.95,0.0,93.0,Shipped 05/15/2023,31631.0,0.0,ABT DUAL BRUSH 885 WARM RED,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014566032,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56604,Tombow Brush Pen Dual Tip Colors (899 Red Wood),85014566049,3.0,1.65,-,-,-,-,4.95,0.0,94.0,Shipped 05/15/2023,28061.0,0.0,ABT DUAL BRSH 899 REDWOOD,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014566049,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56643,Tombow Brush Pen Dual Tip Neutrals (N89 Warm Gray 1),85014566438,3.0,1.65,-,-,-,-,4.95,0.0,95.0,Shipped 05/15/2023,89362.0,0.0,ABT DUAL BRSH N89 WM GY 1,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014566438,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
