,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same QTY,Same PRICE
TB56167,Tombow Dual Brush 10 Piece Sets (Primary Palette),85014561679,2.0,14.0,-,-,-,-,28.0,0.0,96.0,Shipped 05/15/2023,33574.0,0.0,ABT DUAL BRSH SET 10/PRIMARY,2.0,2.0,0.0,29.49,50.0,14.75,SE,29.5,U-085014561679,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.75
TB56189,Tombow Dual Brush 10 Piece Sets (Tropical Palette),85014561891,2.0,14.0,-,-,-,-,28.0,0.0,97.0,Shipped 05/15/2023,87042.0,0.0,ABT DUAL BRSH SET 10/TROPICAL,2.0,2.0,0.0,29.49,50.0,14.75,SE,29.5,U-085014561891,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.75
TB62038,Tombow Fudenosuke Brush Pen Set of 2 Black,85014620383,3.0,3.6,-,-,-,-,10.8,0.0,98.0,Shipped 05/15/2023,80505.0,0.0,FUDENOSUKE BRSH PEN HD&SFT BLK,3.0,3.0,0.0,7.55,50.0,3.78,CD,11.34,U-085014620383,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999972
ZE01210UPC,Zebra Brush Pen Black Fine,45888012103,12.0,1.36,-,-,-,-,16.32,0.0,99.0,Shipped 05/15/2023,88580.0,0.0,BRUSH PEN SNGL FINE BLACK,12.0,12.0,0.0,2.85,50.0,1.43,PE,17.16,U-045888012103,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.06999999999999984
ZE54012,Zebra M-301 Mechanical Pencils .5mm Black,45888540125,6.0,3.09,-,-,-,-,18.54,0.0,101.0,Shipped 05/15/2023,99646.0,0.0,M-301 MECH PNCL .5MM BLK 2PK,6.0,6.0,0.0,6.48,50.0,3.24,CD,19.44,U-045888540125,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.15000000000000036
TN95960112,Watercolor Pan Set Angora 14 Color,8.71208E+12,6.0,6.38,-,-,-,-,38.28,0.0,113.0,Shipped 05/15/2023,77522.0,0.0,W/C PAN SET ANGORA 14 COLOR,6.0,6.0,0.0,15.95,64.0,5.74,SE,34.44,E-8712079394660,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,-0.6399999999999997
PI46543,Pilot Erasable Highlighter Set of 5,72838465436,7.0,3.98,-,-,-,-,27.86,0.0,137.0,Shipped 05/15/2023,81695.0,0.0,FRIXION LT HGHLTR PASTEL 5/CD,7.0,7.0,0.0,8.37,50.0,4.19,CD,29.33,U-072838465436,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.2100000000000004
YO6K,Kozo Japanese Art Paper,31248981608,3.0,11.87,-,-,-,-,35.61,0.0,143.0,Shipped 05/15/2023,101987.0,0.0,KOZO PAPER 10 1/2X13 3/4 10SH,3.0,3.0,0.0,21.99,54.5,10.01,PK,30.03,U-031248981608,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,-1.8599999999999994
AWCT2169,Let's Learn to Sew Kit,8.11069E+11,2.0,10.0,-,-,-,-,20.0,0.0,146.0,Shipped 05/15/2023,100170.0,0.0,LETS LEARN TO SEW KIT,2.0,2.0,0.0,20.99,50.0,10.5,EA,21.0,U-811069031269,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.5
AA17358,Mini Ribbon Sculpting Tool Set,82435173580,2.0,6.65,-,-,-,-,13.3,0.0,151.0,Shipped 05/15/2023,72887.0,0.0,RIBBON TOOL METAL 6PC SET,2.0,2.0,0.0,20.99,65.0,7.35,SE,14.7,U-082435173580,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,0.6999999999999993
TNF1250C,Finetec Artist Pearlescent Watercolor Pan Refill (Amethyst),4.2514E+12,4.0,3.58,-,-,-,-,14.32,0.0,154.0,Shipped 05/15/2023,97711.0,0.0,FNTC CLR SQU PEARL AMETHYST,4.0,4.0,0.0,8.95,64.0,3.22,CD,12.88,E-4251402600176,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,-0.3599999999999999
GL960015,Flip-Sketch Sketch Books 5 x 7 Pool,6.96845E+11,4.0,4.11,-,-,-,-,16.44,0.0,155.0,Shipped 05/15/2023,43275.0,0.0,FLIP-SKT BK 5X7 POOL 100SH,4.0,4.0,0.0,10.25,57.5,4.36,BK,17.44,U-696844960152,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.25
GL960030,Flip-Sketch Sketch Books 6 X 9 Mist,6.96845E+11,4.0,5.13,-,-,-,-,20.52,0.0,156.0,Shipped 05/15/2023,43277.0,0.0,FLIP-SKT BK 6X9 MIST 100SH,4.0,4.0,0.0,12.8,57.5,5.44,BK,21.76,U-696844960305,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.3100000000000005
DPDGG04-30,Galaxy Glitter Paint (Red Nebula),7.66218E+11,3.0,1.25,-,-,-,-,3.75,0.0,158.0,Shipped 05/15/2023,88454.0,0.0,GALAXY GLITTR 2OZ RED NEBULA,3.0,3.0,0.0,3.32,55.0,1.49,BO,4.47,U-766218112057,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.24
ELE-309,Glue School Elmer's 9 Ounce Clear,26000003094,4.0,4.25,-,-,-,-,17.0,0.0,162.0,Shipped 05/15/2023,81348.0,0.0,ELMERS CLEAR SCHOOL GLUE 9 OZ,4.0,4.0,0.0,8.5,55.0,3.83,EA,15.32,U-026000003094,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,-0.41999999999999993
MR0145000101,Graphix Aqua Pen 6 Color Set Make Manga,4.00775E+12,4.0,7.65,-,-,-,-,30.6,0.0,166.0,Shipped 05/15/2023,84647.0,0.0,GRAPX AQUA PEN MAKEMANGA SET/6,4.0,4.0,0.0,17.99,55.0,8.1,SE,32.4,E-4007751629128,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.4499999999999993
AA17348,Double Ball Stylus Embossing Tool,82435173481,3.0,1.17,-,-,-,-,3.51,0.0,172.0,Shipped 05/15/2023,22108.0,0.0,DBL BALL STYLUS EMBOSS TOOL,3.0,3.0,0.0,3.89,65.0,1.36,CD,4.08,U-082435173481,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.19000000000000017
JAJID1301,Dye Fixative for Natural Fibers,7.43772E+11,3.0,2.55,-,-,-,-,7.65,0.0,174.0,Shipped 05/15/2023,56828.0,0.0,DYE FIXATIVE 14GM PK,3.0,3.0,0.0,5.19,50.0,2.6,PK,7.8,U-743772027287,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.050000000000000266
PLPTS-15,Dyeing Pastel Set of 15,72512009291,6.0,2.63,-,-,-,-,15.78,0.0,175.0,Shipped 05/15/2023,5142.0,0.0,DYEING PASTEL SET OF 15,6.0,6.0,0.0,5.25,52.5,2.49,SE,14.94,U-072512009291,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,-0.13999999999999968
FC166399,Ecco Pigment Pen Black (.3mm),4.0054E+12,5.0,1.45,-,-,-,-,7.25,0.0,177.0,Shipped 05/15/2023,74823.0,0.0,ECCO PIGMNT FIBRE TIP 0.3 BLK,5.0,5.0,0.0,3.25,52.5,1.54,PE,7.7,E-4005401663997,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.09000000000000008
TN11509901,Ecoline Watercolor Brush Pen Pastel Set of 5,8.71208E+12,2.0,10.33,-,-,-,-,20.66,0.0,178.0,Shipped 05/15/2023,83768.0,0.0,ECOLINE WC BRUSHPEN PASTL SE/5,2.0,2.0,0.0,22.95,59.5,9.29,SE,18.58,E-8712079408275,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,-1.040000000000001
MDM027727,Egg Chalk 6 Color Set,9.31331E+12,5.0,3.5,-,-,-,-,17.5,0.0,179.0,Shipped 05/15/2023,90553.0,0.0,ES EGG CHALK,5.0,5.0,0.0,6.99,52.5,3.32,EA,16.6,E-9313306027727,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,-0.18000000000000016
UX248310000,EMOTT 5 Pen Set (#4),4.90278E+12,6.0,7.0,-,-,-,-,42.0,0.0,180.0,Shipped 05/15/2023,89048.0,0.0,EMOTT 0.4MM FINE 5CT SET#4,6.0,0.0,0.0,14.1,55.0,6.35,SE,0.0,E-4902778248317,3003330000.0,ALB1381,N3240731,0.0,14596857.0,0.0,-6.0,-0.6500000000000004
DPDPM04-30,Extreme Sheen (24K Gold),7.66218E+11,6.0,1.53,-,-,-,-,9.18,0.0,182.0,Shipped 05/15/2023,80112.0,0.0,EXTREME SHEEN 2OZ 24K GOLD,6.0,6.0,0.0,3.42,55.0,1.54,BO,9.24,U-766218096890,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.010000000000000009
DPDPM03-30,Extreme Sheen (Rose Gold),7.66218E+11,4.0,1.53,-,-,-,-,6.12,0.0,185.0,Shipped 05/15/2023,80111.0,0.0,EXTREME SHEEN 2OZ ROSE GOLD,4.0,4.0,0.0,3.42,55.0,1.54,BO,6.16,U-766218096883,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.010000000000000009
AA20132,Artist Tape .5 Inch 60 Yards,82435201320,3.0,4.95,-,-,-,-,14.85,0.0,192.0,Shipped 05/15/2023,300365.0,0.0,TAPE ARTIST WHITE 1/2INX60YD,3.0,3.0,0.0,11.49,55.0,5.17,RL,15.51,U-082435201320,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,0.21999999999999975
YOCC1,Calli-Sumi Brush 1-1/8 inch,31248010759,3.0,1.96,-,-,-,-,5.88,0.0,195.0,Shipped 05/15/2023,172421.0,0.0,CALLI-SUMI BRSH 1-1/8 INCH,3.0,3.0,0.0,4.9,64.0,1.76,BR,5.28,U-031248010759,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,-0.19999999999999996
RHC96621,Clairefontaine Graf It 6 X 8 Sketch Pad 80 Sheets,3.32968E+12,6.0,3.25,-,-,-,-,19.5,0.0,201.0,Shipped 05/15/2023,45737.0,0.0,CF GRAFIT 90G 80SH SKETCH 6X8,6.0,6.0,0.0,7.5,55.0,3.38,PD,20.28,E-3329680966213,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,0.1299999999999999
DT387000,Clay Das 1.1 Pound White,8.00014E+12,12.0,2.58,-,-,-,-,30.96,0.0,202.0,Shipped 05/15/2023,293814.0,0.0,CLAY DAS PRONTO WHITE 1.1 LBS,12.0,12.0,0.0,9.5,72.0,2.66,EA,31.92,E-8000144074112,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
DT387500,Clay Das 2.2 Pound White,8.00014E+12,14.0,4.98,-,-,-,-,69.72,0.0,203.0,Shipped 05/15/2023,293938.0,0.0,CLAY DAS PRONTO WHITE 2.2 LBS,14.0,14.0,0.0,15.75,67.5,5.12,EA,71.68,E-8000144074105,3003330000.0,ALB1381,N3240731,0.0,14596857.0,Multiple Cartons,0.0,0.13999999999999968
CB1200107-3,Collage Board 15 X 20 White,93924180330,15.0,2.36,-,-,-,-,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-2.36
BEAWD-182404,Colored Copper 18 Gauge Craft Wire (Antique Brass),6.56156E+11,2.0,2.5,-,-,-,-,5.0,0.0,206.0,Shipped 05/15/2023,61455.0,0.0,ARTISTIC WIRE 18GA AN BRS 4YD,2.0,2.0,0.0,5.25,50.0,2.63,CD,5.26,U-656156061794,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.1299999999999999
WN0390373,Cotman Watercolor Pocket Plus Set,94376954364,3.0,15.25,-,-,-,-,45.75,0.0,209.0,Shipped 05/15/2023,996771.0,0.0,COTMAN WC POCKET PLUS SET,3.0,3.0,0.0,35.49,59.5,14.37,SE,43.11,U-094376954364,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,-0.8800000000000008
AWCT2103,Craft-tastic Mermaid Potions Kit,8.11069E+11,1.0,10.0,-,-,-,-,10.0,0.0,210.0,Shipped 05/15/2023,100168.0,0.0,MERMAID POTIONS KIT,1.0,1.0,0.0,20.99,50.0,10.5,EA,10.5,U-811069030996,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.5
GD1100-2,Golden Heavy Body Acrylic 2 Oz. (Cadmium Red Medium),7.38797E+11,2.0,12.35,-,-,-,-,24.7,0.0,212.0,Shipped 05/15/2023,838470.0,0.0,HB ACR CP CAD RED MED 2oz,2.0,2.0,0.0,27.29,52.5,12.96,TU,25.92,U-738797110021,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.6100000000000012
GD1380-2,Golden Heavy Body Acrylic 2 Oz. (Titanium White),7.38797E+11,2.0,5.65,-,-,-,-,11.3,0.0,213.0,Shipped 05/15/2023,833738.0,0.0,HB ACR TITANIUM WHITE 2oz,2.0,2.0,0.0,12.49,52.5,5.93,TU,11.86,U-738797138025,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.27999999999999936
GD1407-2,Golden Heavy Body Acrylic 2 Oz. (Yellow Ochre),7.38797E+11,2.0,5.65,-,-,-,-,11.3,0.0,214.0,Shipped 05/15/2023,830933.0,0.0,HB ACR YELLOW OCHRE 2oz,2.0,2.0,0.0,12.49,52.5,5.93,TU,11.86,U-738797140721,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.27999999999999936
JAJID1424,iDye Natural Fabrics (Chestnut),7.43772E+11,3.0,2.25,-,-,-,-,6.75,0.0,215.0,Shipped 05/15/2023,17325.0,0.0,IDYE CHESTNUT 14GM PK,3.0,3.0,0.0,5.19,50.0,2.6,PK,7.8,U-743772022800,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,0.3500000000000001
LA453,Lama Li Lokta Paper Hydrangea,7.19723E+11,15.0,2.44,-,-,-,-,36.6,0.0,219.0,Shipped 05/15/2023,94531.0,0.0,LOKTA 60GSM 20X30 HYDRANGEA,15.0,15.0,0.0,6.1,62.0,2.32,SH,34.8,U-719722824534,3003330000.0,ALB1381,N3240731,0.0,14596857.0,Multiple Cartons,0.0,-0.1200000000000001
UC4100S-BRSH,LePen Drawing Black (Brush),28617411309,6.0,1.0,-,-,-,-,6.0,0.0,221.0,Shipped 05/15/2023,74995.0,0.0,LE PEN DRAWING BRUSH BLACK,6.0,6.0,0.0,2.19,50.0,1.1,PE,6.6,U-028617411309,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.10000000000000009
JAJFC1036,Pinata Alcohol Ink (Pearl),7.43772E+11,1.0,1.85,-,-,-,-,1.85,0.0,230.0,Shipped 05/15/2023,82379.0,0.0,PINATA PEARL 1/2 OZ,1.0,1.0,0.0,4.29,52.5,2.04,BO,2.04,U-743772032243,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.18999999999999995
JAJFC1017,Pinata Alcohol Ink (Sapphire Blue),7.43772E+11,2.0,1.99,-,-,-,-,3.98,0.0,231.0,Shipped 05/15/2023,26819.0,0.0,PINATA SAPPHIRE BLUE 1/2 OZ,2.0,2.0,0.0,4.29,52.5,2.04,BO,4.08,U-743772101710,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,0.050000000000000044
SK50319,Sakura Pigma Calligrapher Pen Assorted 3 Pack,53482503194,3.0,4.84,-,-,-,-,14.52,0.0,233.0,Shipped 05/15/2023,49222.0,0.0,PIGMA CALLIGRPHR PEN BLACK 3PK,3.0,3.0,0.0,10.39,50.0,5.2,PK,15.6,U-053482503194,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.3600000000000003
SYP5109,Sculpey Premo Accents 2oz. (Opal),7.15892E+11,5.0,1.5,-,-,-,-,7.5,0.0,234.0,Shipped 05/15/2023,75312.0,0.0,PREMO 2OZ OPAL,5.0,5.0,0.0,3.29,50.0,1.65,EA,8.25,U-715891510964,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,0.1499999999999999
SA1742664,Sharpie Pen (Blue),71641000506,12.0,1.5,-,-,-,-,18.0,0.0,240.0,Shipped 05/15/2023,19476.0,0.0,SHARPIE PEN BLUE,12.0,12.0,0.0,2.92,46.0,1.58,PE,18.96,U-071641000506,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.08000000000000007
SA1823889,Sharpie Permanent Marker Fine Metallic (Gold),71641054905,7.0,1.29,-,-,-,-,9.03,0.0,241.0,Shipped 05/15/2023,48616.0,0.0,SHRP METL FINE GOLD U,7.0,7.0,0.0,2.81,50.0,1.41,PE,9.87,U-071641054905,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.11999999999999988
UX140095000,uni Chalk Marker PWE-8K Broad Chisel (White),4.90278E+12,1.0,3.28,-,-,-,-,3.28,0.0,248.0,Shipped 05/15/2023,90611.0,0.0,UNI CHALK PWE-8K WHITE,1.0,1.0,0.0,6.55,65.0,2.29,PE,2.29,E-4902778140093,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,-0.9899999999999998
RYRD80,Glue Brush (6 Pack),90672000804,6.0,0.75,-,-,-,-,4.5,0.0,249.0,Shipped 05/15/2023,296708.0,0.0,ACID AND GLUE BRUSH 6PK,6.0,6.0,0.0,1.39,62.0,0.53,SE,3.18,U-090672000804,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,-0.21999999999999997
CB1200107-3C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,Shipped 05/15/2023,40245.0,0.0,COLLAGE BOARD 15X20 WHITE,15.0,15.0,0.0,4.91,56.01,2.16,SH,32.4,U-093924180330,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777431,15.0,2.16
